time,open,high,low,close
1774984980,6565.25,6567.25,6563.75,6565
1774985040,6564.75,6565,6563,6563.75
1774985100,6564,6564.25,6562.75,6563
1774985160,6562.75,6564.25,6559.25,6561
1774985220,6561,6563.5,6560,6560.5
1774985280,6560.25,6563,6559.75,6562.5
1774985340,6562.5,6562.75,6561.25,6561.5
1774985400,6561.75,6568,6561,6567
1774985460,6567.25,6567.5,6564,6565
1774985520,6564.75,6566.5,6564.75,6564.75
1774985580,6564.75,6565.75,6563,6565.75
1774985640,6565.5,6566.25,6564.5,6564.5
1774985700,6564.75,6569.25,6564,6567.75
1774985760,6567.5,6571.75,6567.25,6568.75
1774985820,6568.75,6572.75,6568.75,6571
1774985880,6571,6572.25,6570,6571.5
1774985940,6571.5,6573.75,6571,6572.25
1774986000,6572.25,6573.75,6570.75,6572
1774986060,6571.75,6572.25,6568.75,6569.5
1774986120,6569.5,6570.5,6567.75,6568.25
1774986180,6568.25,6568.25,6566.25,6566.75
1774986240,6566.75,6571,6565.75,6569.25
1774986300,6569.25,6571.25,6567.25,6570.25
1774986360,6570.25,6574.75,6569.25,6573.5
1774986420,6573.75,6575.75,6572,6575
1774986480,6575,6577.25,6574.75,6577
1774986540,6577,6578.25,6575.75,6576.25
1774986600,6576.25,6583,6576,6576.25
1774986660,6576.25,6577,6568.5,6569.25
1774986720,6569.25,6570.25,6564.5,6565.5
1774986780,6565.5,6568.25,6564.25,6566.25
1774986840,6566.75,6569.5,6564.75,6566.25
1774986900,6566.25,6571.25,6564.25,6565.5
1774986960,6565.5,6566.5,6560.75,6562.25
1774987020,6562.25,6567.5,6560.25,6566.5
1774987080,6566.25,6568.25,6565.5,6567
1774987140,6567,6574.5,6565,6569.25
1774987200,6569.25,6574,6566,6572.25
1774987260,6572.5,6573,6569,6571.5
1774987320,6572,6572.75,6568.25,6569
1774987380,6569.25,6569.75,6564.25,6565.25
1774987440,6565.25,6565.75,6561.75,6564.5
1774987500,6564.25,6567.5,6563.5,6567
1774987560,6567,6568.75,6566.5,6568.25
1774987620,6568.25,6569.5,6567,6569
1774987680,6568.75,6570.25,6567.5,6569.25
1774987740,6569.25,6572.75,6568.75,6570.75
1774987800,6570.75,6572.75,6569,6572.25
1774987860,6572.25,6572.5,6569.5,6569.5
1774987920,6570,6570.75,6568.75,6569.25
1774987980,6569.25,6573,6569.25,6572.25
1774988040,6572.5,6572.75,6570.25,6571.5
1774988100,6571.5,6575,6569.5,6574.25
1774988160,6574,6574.75,6573,6573.25
1774988220,6573,6574.75,6572.75,6574
1774988280,6574.5,6576.5,6574,6575.25
1774988340,6575.25,6577,6574.75,6576.25
1774988400,6576.25,6577.25,6575,6575.25
1774988460,6575.25,6575.75,6574,6574.5
1774988520,6574.25,6575,6573.75,6574.75
1774988580,6574.75,6575.75,6574.25,6575.5
1774988640,6575.25,6575.5,6574.25,6575
1774988700,6574.75,6577,6574.5,6576.25
1774988760,6576,6576.75,6574,6574.75
1774988820,6574.5,6575.25,6573.25,6573.5
1774988880,6573.5,6575,6573,6574.75
1774988940,6574.75,6576.25,6574.75,6576
1774989000,6575.75,6576.75,6575,6575.25
1774989060,6575.25,6575.75,6574,6575
1774989120,6574.75,6575.25,6574,6575
1774989180,6575,6575.25,6574,6574.75
1774989240,6574.5,6575,6573.75,6574.75
1774989300,6574.75,6575.5,6574.5,6575.25
1774989360,6575,6575.25,6572.75,6573.25
1774989420,6573,6573.25,6572,6572.25
1774989480,6572.5,6573,6571.5,6571.75
1774989540,6572,6572.75,6570,6572
1774989600,6571.75,6571.75,6570.25,6570.75
1774989660,6570.5,6571,6569.5,6569.5
1774989720,6569.75,6570.5,6568.25,6568.5
1774989780,6568.75,6569,6567.5,6568.25
1774989840,6568.25,6568.75,6567.25,6568.25
1774989900,6568.25,6569.75,6567.75,6568.75
1774989960,6568.5,6569,6567,6567.5
1774990020,6567.5,6568.5,6567,6568.25
1774990080,6568.25,6569.75,6568.25,6569.25
1774990140,6569,6570,6568.75,6569.75
1774990200,6569.75,6570,6568.5,6568.5
1774990260,6568.5,6569,6568,6568.75
1774990320,6568.75,6570.25,6568.75,6569.75
1774990380,6569.75,6570.25,6568.5,6568.5
1774990440,6568.75,6569,6567.25,6568.5
1774990500,6568.5,6569.25,6567.5,6567.5
1774990560,6568,6569,6567.25,6567.5
1774990620,6567.5,6568.25,6567.25,6567.75
1774990680,6567.5,6568.25,6565.25,6566.25
1774990740,6566,6568.5,6565.5,6567.75
1774994400,6563,6569.75,6560.75,6565.75
1774994460,6566.25,6568.75,6566.25,6567.5
1774994520,6567.25,6569.75,6567,6568.5
1774994580,6568,6571.75,6567.25,6571.75
1774994640,6571.75,6573.5,6567,6567
1774994700,6567.25,6570.5,6567.25,6569.5
1774994760,6569.75,6571.5,6568.25,6568.5
1774994820,6568.5,6568.75,6567,6567
1774994880,6567.5,6569.5,6566,6567
1774994940,6566.5,6566.75,6565,6565.5
1774995000,6565.75,6566.25,6564.25,6565.25
1774995060,6565.5,6569,6565,6568.75
1774995120,6569,6571,6568.75,6570.75
1774995180,6570.75,6573,6570.25,6572.75
1774995240,6572.75,6576.75,6572.25,6575.25
1774995300,6575,6576,6573,6575.25
1774995360,6575.25,6576,6572.75,6573.25
1774995420,6573.25,6574.75,6572.5,6573.5
1774995480,6573,6574,6572,6572.75
1774995540,6572.5,6573.25,6572,6572.75
1774995600,6573,6574.5,6571.5,6573.25
1774995660,6573,6575.25,6568.75,6575
1774995720,6575,6577.25,6573.25,6574.5
1774995780,6574.75,6574.75,6570.75,6571.25
1774995840,6571.25,6575.25,6571.25,6574.25
1774995900,6573.75,6574.5,6571,6574
1774995960,6574,6574.75,6573.75,6574.25
1774996020,6574,6574.75,6574,6574.75
1774996080,6574.25,6576,6574.25,6575.5
1774996140,6575.25,6575.25,6573.25,6574
1774996200,6574,6574,6572.5,6572.75
1774996260,6572.5,6575.5,6572.5,6573.75
1774996320,6574.25,6574.25,6572,6572.25
1774996380,6572,6572,6570,6571.25
1774996440,6571.25,6571.75,6569.5,6569.75
1774996500,6570,6570.5,6569,6569.5
1774996560,6570,6570.5,6568.75,6568.75
1774996620,6569.25,6571,6569,6571
1774996680,6571,6573,6570,6571.75
1774996740,6572,6573,6571.5,6572
1774996800,6572.25,6574,6571.75,6574
1774996860,6573.75,6574.75,6573,6573.25
1774996920,6573,6576,6573,6575.25
1774996980,6575.5,6575.75,6573,6573.5
1774997040,6573.75,6574.5,6572.75,6573.75
1774997100,6573.5,6574,6573,6573.25
1774997160,6573.25,6574,6572.5,6573
1774997220,6573.25,6573.25,6572,6572.25
1774997280,6572.25,6572.75,6570.75,6571.25
1774997340,6571.5,6574.25,6571.25,6572.75
1774997400,6572.75,6572.75,6571.25,6571.5
1774997460,6571.5,6571.5,6570.5,6570.75
1774997520,6571,6571.75,6570.75,6571.75
1774997580,6571.75,6572,6571,6571.75
1774997640,6571.75,6573,6571.25,6572.25
1774997700,6572.25,6573.25,6572.25,6573.25
1774997760,6572.5,6573.25,6572.5,6572.5
1774997820,6572.75,6573,6571.25,6571.75
1774997880,6571.75,6573,6571.5,6572.5
1774997940,6572.25,6573.25,6571.75,6572.75
1774998000,6572.75,6573.25,6570.25,6570.25
1774998060,6570.25,6570.5,6569.25,6569.5
1774998120,6569.75,6572.5,6569.5,6572
1774998180,6572,6572.75,6571.5,6572
1774998240,6572.5,6572.5,6571,6571
1774998300,6571.25,6573,6571,6573
1774998360,6573,6573.25,6571.75,6572.25
1774998420,6572.5,6572.5,6570.75,6571.25
1774998480,6571.25,6571.75,6570.25,6570.25
1774998540,6570.5,6571,6570,6570.25
1774998600,6570.5,6571.5,6570,6570
1774998660,6570.5,6571.25,6569.25,6569.75
1774998720,6569.75,6571.5,6569.25,6571.5
1774998780,6571.5,6571.5,6570.5,6571
1774998840,6571.25,6571.25,6570.5,6570.5
1774998900,6570.75,6570.75,6569.5,6569.5
1774998960,6569.75,6571.75,6569.5,6571.5
1774999020,6571.5,6574.25,6571.25,6573.5
1774999080,6573.75,6574,6572,6573.25
1774999140,6573.5,6574.25,6572.75,6573
1774999200,6573.25,6573.5,6572.25,6573.5
1774999260,6573.25,6573.5,6572.5,6573
1774999320,6572.75,6572.75,6570.75,6571.25
1774999380,6571,6573,6571,6572.75
1774999440,6572.75,6573.75,6572.25,6573.5
1774999500,6573.5,6574,6572.5,6572.5
1774999560,6572.75,6573.75,6572.25,6573.25
1774999620,6573.25,6573.75,6572.5,6573.25
1774999680,6573.25,6574,6573,6573.5
1774999740,6574,6576,6573.75,6575
1774999800,6574.75,6577.25,6574.25,6576.25
1774999860,6576.25,6576.75,6575.25,6575.5
1774999920,6575.25,6576.25,6574.5,6576.25
1774999980,6576,6577.25,6575.75,6577.25
1775000040,6577,6580,6576.75,6579.25
1775000100,6579.25,6581.25,6579.25,6580.5
1775000160,6580,6584.75,6579.5,6582.5
1775000220,6582.75,6584.25,6582.25,6584
1775000280,6584,6586.75,6582.75,6584.75
1775000340,6584.5,6586,6584,6584.75
1775000400,6584.75,6585,6581.25,6581.75
1775000460,6582,6582,6579.75,6580.5
1775000520,6580.25,6581.25,6579.5,6580.25
1775000580,6579.75,6580.25,6579,6579.25
1775000640,6579.25,6580.25,6578.25,6579
1775000700,6578.75,6580.75,6578.5,6580.25
1775000760,6579.75,6580,6579,6579.5
1775000820,6580.25,6580.75,6577.5,6578.5
1775000880,6578.5,6579.75,6578.25,6579.75
1775000940,6579.75,6581.5,6579,6581.25
1775001000,6581,6583.5,6580.25,6582.75
1775001060,6582.5,6582.5,6581.25,6581.5
1775001120,6581.75,6585.75,6581.5,6585
1775001180,6585.25,6587.75,6584.25,6585
1775001240,6585,6586.75,6585,6586.25
1775001300,6586.5,6586.5,6584.75,6585.75
1775001360,6585.5,6585.75,6584.5,6585.75
1775001420,6585.25,6587.25,6585,6587
1775001480,6587,6592.75,6586.75,6589.75
1775001540,6589.25,6591.25,6589,6589.75
1775001600,6589.5,6589.75,6585.75,6587
1775001660,6587.25,6587.75,6585.75,6587.25
1775001720,6587.25,6588.25,6586,6588.25
1775001780,6588,6592.5,6587.75,6590
1775001840,6590.25,6592,6588.75,6591.75
1775001900,6591.75,6591.75,6588.25,6590
1775001960,6590,6591.25,6587,6587.25
1775002020,6587,6588.5,6586.5,6587.25
1775002080,6587,6590.5,6586.75,6588.75
1775002140,6588.75,6590.25,6588,6588.25
1775002200,6587.75,6589.5,6586.75,6587
1775002260,6587,6587.5,6585.5,6585.75
1775002320,6586,6587.75,6585.75,6587.5
1775002380,6586.75,6589,6586,6587.75
1775002440,6587.75,6589.25,6587,6588.75
1775002500,6588.5,6589.25,6586.5,6588.25
1775002560,6588.25,6589.25,6585,6585.5
1775002620,6585.5,6587,6585,6586.75
1775002680,6587,6588,6586.5,6586.5
1775002740,6586.75,6589.25,6586.25,6587.75
1775002800,6587.75,6588,6587,6587
1775002860,6587,6587,6583.75,6586.25
1775002920,6586.25,6586.5,6584.5,6586
1775002980,6585.75,6587.5,6585,6586.75
1775003040,6587,6589.25,6587,6588.5
1775003100,6588.75,6589.25,6587.5,6588.5
1775003160,6588.5,6588.75,6586,6586.75
1775003220,6586.75,6587.75,6585.75,6587
1775003280,6587,6587,6585.25,6585.75
1775003340,6586.25,6587.75,6586,6587.5
1775003400,6587,6587.75,6586,6586
1775003460,6586.25,6586.75,6585,6585
1775003520,6585,6585,6580,6584.25
1775003580,6584,6584.75,6582,6584.25
1775003640,6584.5,6585,6583.25,6583.25
1775003700,6583.5,6586.25,6583.25,6586
1775003760,6586,6586.25,6584.25,6584.5
1775003820,6584.25,6586.5,6583.75,6585
1775003880,6584.5,6586,6584.5,6585.25
1775003940,6585,6585.75,6584.75,6584.75
1775004000,6585.25,6589,6585,6588.75
1775004060,6588.75,6589.25,6588,6588.5
1775004120,6588.5,6589.5,6587.75,6587.75
1775004180,6587.75,6588,6586.75,6587
1775004240,6587.5,6588.75,6587.25,6588.5
1775004300,6588.25,6588.25,6586.25,6586.75
1775004360,6587,6588.5,6587,6588.25
1775004420,6588,6589.25,6587.75,6588.75
1775004480,6588.5,6588.75,6587.5,6587.5
1775004540,6587.5,6588.5,6587,6588
1775004600,6587.75,6590.25,6587.75,6589.75
1775004660,6589.75,6591,6589.25,6590.5
1775004720,6590.5,6591.5,6588.25,6589
1775004780,6588.75,6591,6588.75,6590
1775004840,6590.5,6590.5,6589,6589.25
1775004900,6590,6591,6590,6590.5
1775004960,6590.25,6590.25,6588,6588.5
1775005020,6588.75,6590.25,6588.5,6589.75
1775005080,6590.25,6591.5,6589.75,6591
1775005140,6591,6592.75,6590.5,6592.5
1775005200,6592.75,6594.75,6587.75,6591
1775005260,6590.75,6592.75,6587,6588.25
1775005320,6588.25,6590.5,6585.75,6589
1775005380,6588.75,6591.75,6588,6590.75
1775005440,6590.75,6591.5,6587.5,6587.5
1775005500,6587.75,6588,6583.25,6583.75
1775005560,6584,6584.25,6579.5,6580.25
1775005620,6580.75,6585.75,6580.25,6584.25
1775005680,6584.75,6585.5,6583,6584.25
1775005740,6584.5,6586,6584.25,6586
1775005800,6586,6588.5,6584,6587.75
1775005860,6587.75,6588.25,6586.75,6588.25
1775005920,6588,6588,6584.75,6586.5
1775005980,6586.25,6587.75,6584.5,6584.75
1775006040,6585,6586.25,6584.75,6585.75
1775006100,6585.75,6586,6583.75,6584
1775006160,6584.25,6584.5,6582.25,6582.75
1775006220,6583,6583.5,6582,6583.25
1775006280,6583,6585.75,6583,6585.25
1775006340,6585,6586.25,6584.5,6585.5
1775006400,6585.75,6587.25,6585.5,6586.75
1775006460,6586.5,6586.5,6584.75,6585.75
1775006520,6585.25,6586,6584.5,6584.75
1775006580,6584.5,6585,6584.25,6585
1775006640,6584.75,6586.5,6584.5,6586.25
1775006700,6586.25,6587.75,6585.75,6587.25
